Group,Component,Layer,mean_Logit,std_Logit,sem_Logit,count_Logit,mean_Posteriors,std_Posteriors,sem_Posteriors,count_Posteriors
Experiment (Homopolymer),attn,0,0.01536499767681781,0.06496882483754102,0.010981735747231903,35,-0.24269175919207886,1.3030737430818837,0.22025966363813357,35
Experiment (Homopolymer),attn,1,0.01956647985588188,0.031302572016828914,0.0052911003847937515,35,-0.1726432246594235,0.8331681462749627,0.14083112074571116,35
Experiment (Homopolymer),attn,2,0.03211530559015445,0.04076974847933619,0.00689134527830449,35,-0.1386680366417974,0.9077695788279214,0.15344106437190627,35
Experiment (Homopolymer),attn,3,0.03059140059231448,0.03836844902003554,0.006485451587323444,35,-0.04934949456379715,0.588041380803721,0.09939713498853933,35
Experiment (Homopolymer),attn,4,0.04450568246738604,0.046270547463487945,0.007821150011476923,35,-0.09699141670591316,0.702955617893324,0.11882118626957121,35
Experiment (Homopolymer),attn,5,0.030540622317204186,0.04350373203494646,0.007353472845180853,35,-0.04745143090853421,0.24446366375580306,0.041321901109947684,35
Experiment (Homopolymer),attn,6,0.04268572478435979,0.04577069637264633,0.0077366597562458245,35,-0.029886378143732392,0.541074777444512,0.09145833005670291,35
Experiment (Homopolymer),attn,7,0.02148158386042134,0.03950907725969733,0.006678252949286176,35,-0.08040953446352592,0.7087623728038621,0.11980270699333262,35
Experiment (Homopolymer),attn,8,0.02904391319850359,0.046234097454165464,0.007814988835384163,35,-0.01852297785069012,0.49847458767549374,0.0842575837295973,35
Experiment (Homopolymer),attn,9,0.022544177163902248,0.03107006300707156,0.005251799189021924,35,0.04970066342716217,0.3721624483165996,0.06290693532899116,35
Experiment (Homopolymer),attn,10,0.03395608661272174,0.05046372533026524,0.008529926434464976,35,0.06322229872743435,0.3500540470228074,0.059169933445252385,35
Experiment (Homopolymer),attn,11,0.03766653205780033,0.03192304108863271,0.005395978799986239,35,0.009320182252830975,0.35683262804072213,0.0603157227629149,35
Experiment (Homopolymer),attn,12,0.04156252020458144,0.05628830874029732,0.009514460724666926,35,-0.025179780999022756,0.434190382081806,0.07339156975572772,35
Experiment (Homopolymer),attn,13,0.03529815497888253,0.04333187973936906,0.007324424505422434,35,-0.045716095324268784,0.49163404634857555,0.08310132120817906,35
Experiment (Homopolymer),attn,14,0.04467937907227641,0.05088303316705614,0.008600802394925944,35,-0.07967935266028199,0.60209814970508,0.10177316259748313,35
Experiment (Homopolymer),attn,15,0.03527675046267327,0.04121390710138061,0.006966421788143529,35,-0.08912642398336404,0.7277113681168101,0.12300567179564637,35
Experiment (Homopolymer),attn,16,0.04965742228210116,0.03978063727218359,0.006724154969279554,35,-0.08132212972306284,0.425435768206693,0.0719117699227163,35
Experiment (Homopolymer),attn,17,0.06562436163704385,0.039961236561460126,0.006754681820826156,35,0.025749023598319747,0.546653471357291,0.09240130143594555,35
Experiment (Homopolymer),head 0,0,0.003411428570697829,0.04100012650893774,0.006930286272687234,35,-0.17543990375296942,0.8574143259413283,0.14492947312689936,35
Experiment (Homopolymer),head 0,1,0.0022032092333276413,0.030679123733224397,0.0051857183908954425,35,-0.18002562215454576,0.9150644914064652,0.15467412965263203,35
Experiment (Homopolymer),head 0,2,0.003651954542600716,0.03105992839674616,0.005250086127214618,35,-0.0995730033319075,0.6274544203727487,0.10605915460524874,35
Experiment (Homopolymer),head 0,3,0.005988421817764086,0.033198300785362456,0.005611537031701226,35,-0.11197369300922641,0.5376780506750087,0.09088417844042371,35
Experiment (Homopolymer),head 0,4,0.012763385265227151,0.03847363493066303,0.006503231251304307,35,-0.1480572683811068,0.7988060612794154,0.13502286827864524,35
Experiment (Homopolymer),head 0,5,0.004033600640817566,0.01604323392256462,0.0027118014818520715,35,-0.08970854349640388,0.4932040603416227,0.08336670200942048,35
Experiment (Homopolymer),head 0,6,0.009698483511489824,0.03194844190147651,0.005400272320995939,35,-0.027237226732865306,0.3634234135728833,0.061429768849816734,35
Experiment (Homopolymer),head 0,7,0.00017975444669981723,0.018119498154589058,0.003062754191779289,35,-0.05468866959592567,0.39716527440703336,0.06713318429910461,35
Experiment (Homopolymer),head 0,8,0.0013412927199008432,0.02052029919444111,0.003468563634496811,35,-0.06428552688466566,0.2972727517187287,0.050248266185987496,35
Experiment (Homopolymer),head 0,9,-0.0008234458486769666,0.019557284021178695,0.003305784360286641,35,-0.06000341110460107,0.5604142052270441,0.09472728999158729,35
Experiment (Homopolymer),head 0,10,0.0020963512342502422,0.021246484414566356,0.003591311340198774,35,-0.024140167289041465,0.32923230371152806,0.05565041645517382,35
Experiment (Homopolymer),head 0,11,0.003411127643074708,0.02187443601762438,0.0036974545340163908,35,-0.00873299390385597,0.28915546311973905,0.048876193986728426,35
Experiment (Homopolymer),head 0,12,-0.0002617553328509179,0.022021310957154764,0.0037222809300278097,35,-0.10624346062042518,0.49864690441845644,0.08428671057529248,35
Experiment (Homopolymer),head 0,13,-0.0021584888451904364,0.024430503257259654,0.004129508754606376,35,-0.0698110356074863,0.412251825099797,0.06968327680053794,35
Experiment (Homopolymer),head 0,14,0.014731644788347929,0.03283789147706655,0.005550616739631217,35,-0.09032648288284185,0.7076696121930052,0.11961799673739952,35
